"","respuesta","",""
"1",0.0665653196802986,-0.313324103364721,-0.334964613546617
"2",-1.47151945681574,3.99472682946362,-0.334302095579915
"3",-1.46930664460762,-0.326600193511695,3.99687141773757
"4",0.0666535314399144,-0.328710849280469,-0.324226716649719
"5",0.0663452740483494,-0.30981579166837,-0.357326144701801
"6",0.0666479766292193,-0.33878591505345,-0.324002336477861
"7",0.0666377748765601,-0.322186019504443,-0.327422874048352
"8",0.0666719090105124,-0.335927386186086,-0.327932213898748
"9",0.0664487785945982,-0.357086015399545,-0.318774359533563
"10",0.0665593634154055,-0.326589860022068,-0.352260194253176
"11",0.0665815286328769,-0.330225010984577,-0.314867638400756
"12",0.0665815689943652,-0.344330498599447,-0.318554097320884
"13",-1.47855543590614,-0.312730016536079,3.98800960928202
"14",0.0666387855962886,-0.342710632714443,-0.325845438521355
"15",0.0664868367856732,-0.30904769373592,-0.341978738200851
"16",0.0666738941289099,-0.333472048863769,-0.327779264654964
"17",0.0666611736984709,-0.34138835594058,-0.332438765675761
"18",0.0666324226283198,-0.345898572937585,-0.332084794878028
"19",0.0665191940764049,-0.310911654611118,-0.340611352468841
"20",0.0666058918074055,-0.327058491646312,-0.318185682641342
"21",0.0666311132816523,-0.34600307745859,-0.334624784998596
"22",0.0666343998835085,-0.342124429647811,-0.324234188068658
"23",-1.48821547398246,3.97837533801794,-0.327279396355152
"24",0.0666477513609425,-0.333469418110326,-0.34375140722841
"25",0.0666127315789697,-0.325772061827593,-0.346442845999263
"26",0.0666803121508287,-0.332409526337869,-0.330613513593562
"27",0.0666148283851295,-0.324716378236189,-0.320503257447854
"28",0.0666735578539128,-0.338255738723092,-0.334221653058194
"29",0.0666654662975216,-0.332362993038259,-0.340472823008895
"30",0.0665276382362218,-0.349366151727736,-0.348855410236865
"31",-1.47127574365105,-0.314874889445491,3.99505650997162
"32",0.0665317986486332,-0.332543698954396,-0.355462399427779
"33",0.066605573594389,-0.318575441953726,-0.326090967282653
"34",0.066547940051908,-0.311808401835151,-0.33326574775856
"35",0.0666442122047609,-0.331699899747036,-0.344221535255201
"36",0.0666265299523562,-0.325146639253944,-0.344176651560701
"37",0.0666642061184528,-0.329423314076848,-0.326151270302944
"38",0.0665545846347517,-0.342605943325907,-0.314695063512772
"39",0.0666245273839078,-0.331695410073735,-0.346856003860012
"40",0.066642376837825,-0.333657977636904,-0.321491561830044
"41",0.0666601181514024,-0.332868756027892,-0.341615660116076
"42",0.0666700564323213,-0.331997602246702,-0.326737016555853
"43",0.0663528589777142,-0.322125206235796,-0.301625407184474
"44",0.0666141158086581,-0.322489072103053,-0.34384465648327
"45",0.0663902555105677,-0.313264793832786,-0.308762246626429
"46",0.0665873242123618,-0.334232299239375,-0.350807626498863
"47",0.066580242314304,-0.33331146358978,-0.314538372331299
"48",0.066638998122754,-0.344356224057265,-0.337046746048145
"49",0.0666681709026398,-0.337548847310245,-0.338160133454949
"50",0.066653861097824,-0.342743684188463,-0.333600335288793
"51",0.0664937534259619,-0.332302339491434,-0.358136116177775
"52",0.066677982563492,-0.329714566702023,-0.33127776638139
"53",0.0666640652472537,-0.325405090581626,-0.331404452910647
"54",0.0665308731861019,-0.350252356030978,-0.318524315371178
"55",-1.46741718512424,3.99871468986385,-0.321209122193977
"56",-1.46685267279694,3.99926676601171,-0.346351498388685
"57",0.0666791294465476,-0.330176131450571,-0.331593971000984
"58",0.0666566923509458,-0.341076908749528,-0.337548000388779
"59",0.0665991353365094,-0.3196777603589,-0.343034249846824
"60",-1.47120730513866,3.99502776924055,-0.333096461021341
"61",0.0666296100615525,-0.338288966100663,-0.320839232066646
"62",0.0665618675292604,-0.343810642487369,-0.349955275887623
"63",-1.46629346289216,-0.335308217559941,3.99975307297427
"64",0.0664969007424774,-0.348464257316664,-0.313461790559813
